9414	51933
207	3915
6000	588
836	2
1202	8
1202	9
836	8
1202	4
1202	2
9	786
5450	8
499	8
199	8082
296	1521
322	395
424	210
5116	8
1834	477
3926	185
2	8759
819	2657
205	206
35	6497
2007	372
4378	8
31	1588
31	1589
1789	198
868	1869
27	2
1209	4948
4694	23
890	1308
4123	2
1909	31
3787	79
927	965
4623	5313
9	7402
1793	1794
1197	1200
31	1637
2022	4127
31	1632
31	1633
6010	4
185	151
1734	16
678	8045
6010	2
4815	961
521	3709
6508	955
564	36
31	7740
198	1724
6670	2
3434	1383
4888	55
207	5547
1903	6816
965	892
4996	63
19	738
342	143
342	147
588	4025
1085	487
19	734
19	737
3479	1794
4964	16
207	2792
55	1
55	2
55	5
55	4
55	9
217	51
1938	4235
296	190
106	23
6219	185
185	8671
623	8
1131	63
199	3414
2520	63
199	3413
13	7098
822	921
2844	13
258	70
474	3500
8850	325
588	2077
1947	39
3191	198
5	1804
459	678
35	8836
623	245
5440	3874
3773	1917
35	324
4590	8029
35	320
5661	8
961	63
1080	16
4005	566
2	425
1149	16
48	8919
3604	700
828	6945
6025	211
444	1180
32	2580
7802	194
8	4082
5623	229
1643	16
8	4084
7528	31
8	4089
13	2686
4853	2050
60	11
23	6364
20	2135
7178	437
23	6361
60	19
9	4531
198	840
644	824
4104	57
5825	11
1475	113
19	2384
82	83
188	1010
1624	116
580	420
1328	8
526	211
5238	1282
4787	16
5	954
5954	8
1511	11
39	9396
6113	16
198	2401
3151	15
3777	1505
3648	16
756	1286
3648	11
3648	13
4959	79
719	720
4648	20
6811	63
39	3941
4960	5
824	1145
199	2355
2	5290
39	5448
1815	4
8493	8
1557	16
1815	2
4286	1162
918	191
673	198
6901	11
2463	104
199	1706
325	3128
2632	188
206	2760
235	16
8	4646
5	1331
199	5012
20	2266
104	1979
8	3884
3795	7241
2918	185
9	7257
1659	1787
5103	11
198	1260
8	2905
277	16
8	2907
277	11
765	11
234	55
555	8
297	116
23	867
198	153
9162	413
23	2304
1015	31
2	2988
1982	63
13	1654
5300	4
11	48
8	5022
883	1155
11	45
2	2986
1018	26
11	41
2438	2
2	3051
3377	349
2624	591
1	1783
1260	1982
3676	3711
5620	1278
986	7547
39	366
39	363
79	4596
7684	487
891	1513
19	6219
2421	19
549	858
3431	8
626	2432
564	2342
3431	5
1878	16
1013	2663
105	1209
1231	3904
7635	6
623	2137
196	34
1619	71
23	8321
1948	26
8726	13
26	5364
1778	2039
26	5368
2532	5598
2	1989
730	1454
309	929
6628	3958
2	1983
527	11
2	1981
527	13
2	1987
754	4055
794	1446
9	6021
8	2279
19	367
39	947
8	2272
2882	11
768	626
2946	16
1992	55
2	4205
2	4204
2	4203
753	1255
1502	8
651	8
651	9
8	6597
7101	31
784	39
651	2
8	6599
651	6
23	1071
651	4
5	8593
6197	31
1209	151
1305	13
9	5613
9	5617
457	190
1205	2410
376	13
860	2
952	2113
1813	11
6	445
638	1093
2286	116
829	1934
23	1078
2	1369
2	1367
2	1366
4692	8
2	1360
1248	63
4957	8
1203	32
71	2381
9336	113
548	26
591	4337
3042	13
1333	819
5099	372
2718	7288
7949	32
1209	1238
1420	1421
6500	538
39	1978
59	26
4546	296
1209	1230
1209	1233
11	5255
7947	4936
1091	3510
98	6065
7608	31
26	4976
26	2649
26	4974
26	4970
789	1078
26	6180
206	5927
4592	16
199	5832
7751	198
128	2828
375	1924
72	5311
1701	5620
1869	372
807	2305
3264	2741
4506	1209
31	725
952	3240
4999	206
5364	965
3069	9
591	2859
6333	8
2212	2213
678	717
6785	914
1901	16
185	803
1901	11
1901	13
198	1726
6278	11
6670	4
228	747
5	87
43	138
1667	1663
2721	13
1772	63
3486	116
6399	6276
717	4098
2076	39
624	1769
2507	2
2511	198
6298	11
6096	31
2486	2
1014	16
432	1195
71	1458
2406	57
852	684
1621	31
2075	524
57	5537
717	1686
1293	325
8	8598
1023	1039
1638	1758
5641	16
43	1355
11	1209
4461	4223
4074	2
307	104
3544	1154
3663	1293
1502	198
3970	5
624	5680
526	806
4795	2
9375	11
578	8741
1772	8
6408	8
5264	2118
206	717
2545	67
1024	63
734	1254
2828	277
885	5866
8	6731
797	3188
4065	2
4904	2383
9035	3783
2761	2
4766	2
1989	5934
2674	1209
4875	16
2584	63
819	2417
2517	16
1885	16
2	2045
2	2044
135	79
477	5241
613	16
2	7275
2184	16
755	7900
4077	19
369	1499
483	160
43	3963
133	689
1	588
3052	1219
554	13
554	11
554	16
1	583
133	687
9	5447
369	3434
1074	2689
2360	7581
31	7507
79	3618
996	3324
4386	1224
31	1248
26	4118
2354	79
369	1145
6358	868
260	3972
3287	3288
5290	2848
1235	1236
26	4116
188	144
5096	206
420	9199
23	9316
6380	13
7428	63
6057	26
3780	16
1361	16
3780	11
1361	13
516	3053
14	1564
2082	127
9217	63
3780	19
687	39
25	58
111	63
11	2167
359	8
11	8145
11	8144
5193	11
1653	2675
5319	8
160	4393
3721	600
3170	230
652	564
2	9134
2507	638
2	380
3053	1162
2	385
2	384
2	389
2	388
43	758
1704	16
5275	32
9	3230
588	7204
2300	1378
473	207
6823	413
3428	8
322	9
188	3265
3618	16
3618	11
2	4627
3618	13
162	572
3618	19
26	2618
