20479	148779
765	179
86	2849
1306	2239
836	7
836	6
607	2545
1259	399
1191	6
5141	6
86	2844
86	2845
18714	33
86	16206
10742	6
2007	33
468	12073
1610	821
11406	179
512	52
21	14307
377	4728
16907	168
384	554
213	408
384	551
2133	6340
384	553
6246	4195
687	85
799	933
573	430
7864	158
836	46
30	9289
435	56
559	1291
7	4622
150	417
435	52
30	379
30	376
17386	1510
591	19777
30	375
30	371
14609	11615
15167	97
85	3556
56	2276
52	8755
349	84
20261	19
1604	1853
1641	15071
12809	33
2450	384
3692	33
7	468
8982	12568
86	17575
3458	33
2127	457
44	3507
8792	2127
86	17579
722	6047
13751	6
3767	12107
2998	97
170	8811
4558	1620
13129	3565
13897	86
8236	955
2681	41
6931	19
21	3764
10374	33
795	468
4021	86
2328	2329
11102	4937
567	17
2763	2764
1948	8267
27	6101
342	16266
4721	289
631	1324
377	16811
14226	10
1649	877
150	200
30	3067
150	205
30	3060
3040	77
1639	1640
86	12432
86	12431
443	2271
86	11163
709	103
289	2793
3115	21
7579	33
103	11543
86	14607
926	5922
222	50
14409	46
332	5824
377	2395
106	25
33	18382
970	616
915	14589
30	4750
2348	19738
19369	2253
11714	6
69	4084
86	16226
6	4368
7350	47
2474	2475
3804	8
47	4745
86	16220
67	362
97	4918
74	5191
86	16228
8726	85
16708	19838
2757	414
7317	11
284	4066
25	1826
3565	141
17269	7
17269	6
29	9141
6609	1054
33	177
427	44
33	173
2196	17948
33	170
24	2642
33	179
1724	97
206	2530
3094	392
134	255
8497	97
205	200
800	291
1468	888
5901	4726
1639	8732
47	11963
18652	12688
844	123
844	121
13623	79
296	15342
56	3135
9347	8761
844	129
9837	24
9760	354
670	451
806	2499
2126	18599
2957	120
3397	1953
19	1286
129	755
5400	56
30	9280
13303	77
18439	11
50	2883
47	18127
86	6438
21	5337
86	6435
2353	56
86	6432
2353	54
86	6430
241	6819
89	844
1298	33
30	9283
4293	85
12	2179
16546	21
5167	35
513	85
4306	6
1743	29
56	12071
5951	97
30	10620
30	7223
56	12078
86	7523
19537	34
2720	1680
22	6829
6571	2
2270	342
10	2522
86	4870
241	3331
1474	4639
86	4876
6237	85
27	9
6452	6
917	6
3701	16
2611	33
16174	33
761	8636
14874	295
24	16830
719	720
4151	33
3860	16
15199	158
86	2090
86	2092
86	2095
86	2097
591	11109
17	11162
549	4906
747	414
179	8526
66	7771
1557	17
1557	16
1162	573
373	2040
439	10803
1748	56
11478	97
1748	50
192	1454
1748	52
5726	11
7012	8183
4822	33
2729	33
547	139
429	16231
13835	33
2729	39
361	139
1523	2806
5860	103
86	7389
1020	504
86	7384
9721	1023
86	7383
15554	6
86	7381
1068	35
11040	85
16392	6
1068	30
6740	6241
1068	33
342	10099
1418	992
1509	21
721	150
44	670
389	214
456	4671
259	342
342	11322
18898	2743
11	16073
234	54
234	56
139	2307
4027	17
23	864
555	6
139	8767
4027	10
139	2300
13061	56
1835	56
678	5611
349	8773
47	5826
924	342
10264	98
21	27
2	3056
17321	19
21	23
21	22
429	9531
98	5699
12319	33
2064	377
7682	311
6778	33
21	28
429	7602
4923	97
2725	179
1909	30
249	20269
7	874
5291	373
642	165
8714	6
16226	123
85	3219
85	3218
10104	553
139	13287
377	8174
18003	414
18240	1013
85	3217
85	3216
24	559
16470	132
356	530
1062	6211
17644	6
3431	6
96	3153
11021	869
6	14197
356	538
11179	1394
670	39
11	112
1910	3422
7389	85
