2329	8535
836	1
637	30
2168	2138
135	12
1010	12
499	2
354	126
513	514
818	279
1202	87
205	206
572	903
30	377
275	87
30	372
30	370
81	69
59	1098
27	1
57	276
29	128
2158	153
2197	2138
30	113
30	110
30	111
2032	198
30	114
30	115
12	1002
1390	411
30	1234
4	2049
25	30
48	130
4	2048
327	61
474	57
1218	431
1217	2311
12	1007
1145	58
1145	59
78	1140
2274	229
1145	52
790	685
392	130
72	229
921	1395
630	1652
150	205
804	57
150	208
60	108
723	733
119	2176
55	1
1836	909
494	20
715	69
106	23
108	1159
832	78
694	1673
411	1
89	90
199	200
774	206
1868	57
264	1048
538	888
321	384
49	526
59	172
59	170
59	174
59	179
1961	96
35	323
1080	12
211	212
1	133
2194	52
120	1205
1	131
1963	30
939	12
883	762
795	20
60	12
377	12
120	901
795	29
78	346
35	1199
603	2
35	652
12	2178
52	2156
537	1596
82	83
1827	249
143	548
696	74
247	2085
247	2082
715	1526
81	82
1248	927
31	12
150	836
35	1228
1427	1677
97	467
124	712
1191	12
58	909
1748	59
1154	75
1022	12
834	2074
247	1195
274	12
639	150
108	355
348	349
1820	30
1300	87
137	138
120	2134
199	1251
20	2262
63	30
150	1111
126	276
150	1118
126	279
20	336
1068	35
229	1166
1091	1
1587	416
959	960
538	1695
2327	630
752	753
12	719
2238	2318
604	694
555	1
65	330
29	330
45	2
58	670
21	20
97	1690
30	1477
945	946
1040	1446
1688	4
227	409
341	624
40	59
356	534
310	108
870	1
9	2263
453	12
196	35
216	1
122	69
122	65
1039	863
311	25
30	585
30	587
1374	20
30	583
927	206
539	120
785	1734
69	1667
69	1660
2138	124
264	362
150	2113
1665	1666
55	775
451	108
115	78
38	468
30	636
30	630
846	264
1567	1568
29	122
694	202
434	403
197	1979
16	30
297	12
426	2245
12	397
1138	1139
2	1363
2	1360
262	12
2163	1360
858	58
30	624
403	441
1322	61
20	1174
1832	30
291	701
1171	23
172	96
1081	1277
1548	689
579	682
57	1722
243	1353
774	543
30	966
30	965
741	99
30	963
35	1506
40	4
1641	2235
69	219
150	548
1947	275
23	271
345	116
994	78
2059	2060
715	1060
522	59
1698	1682
958	16
800	23
552	170
20	526
20	157
2212	2213
1716	30
541	786
349	299
126	1853
116	226
116	227
1215	20
115	1290
630	29
2185	1068
715	1207
1896	161
924	28
279	1265
72	1945
30	1641
30	1860
12	1454
1871	96
12	1324
12	1451
12	1453
12	1452
661	858
661	855
2015	504
1612	461
163	126
95	96
920	762
229	331
216	349
58	244
58	245
41	630
12	181
12	182
153	390
471	20
1	1262
1	1260
96	747
1480	1481
161	352
161	350
170	430
885	10
264	116
1	645
2308	733
128	618
1	761
846	1620
1029	641
2176	1
713	866
1100	12
388	1418
12	451
30	1542
99	83
141	1166
99	87
282	12
30	1540
719	59
2184	12
1195	61
595	12
96	350
779	522
290	29
350	72
12	981
30	359
154	730
1193	431
12	235
218	153
30	352
362	30
30	355
2	2165
170	60
1743	397
157	1525
316	120
770	29
2049	59
30	137
726	77
29	106
30	132
675	12
574	229
534	1077
126	216
1333	1334
1046	240
1962	12
61	783
1072	20
61	789
694	2023
819	820
316	1518
543	108
72	206
2	389
630	1985
1358	229
936	23
150	222
804	30
150	221
150	227
150	225
256	933
322	1
23	1140
345	59
1456	29
1174	52
122	211
20	2313
1356	12
1963	2
48	49
832	715
12	973
774	1312
327	522
61	124
61	120
824	349
61	128
702	35
623	229
202	330
78	170
65	100
229	108
52	904
60	124
1611	52
235	2038
256	229
2188	2189
1652	58
1428	4
346	72
12	2158
12	2153
1376	1920
1837	153
639	30
355	712
143	567
1672	120
323	2223
531	648
1361	1362
1070	291
353	229
1091	229
279	1013
445	446
685	1942
776	4
87	1396
1048	12
216	152
88	279
120	388
616	1
1273	1
108	624
774	812
853	935
106	1005
308	30
99	1098
58	1412
38	349
368	481
227	240
227	243
330	1443
330	1444
54	700
2245	153
1	1526
23	847
256	1594
30	1457
12	1150
12	1152
30	1452
1081	178
1417	4
30	1458
1383	20
1719	161
1140	1873
1222	30
1075	936
65	1363
1908	777
35	858
35	855
205	679
202	532
203	921
150	2281
890	12
1939	30
1697	12
61	1740
141	355
141	356
23	26
327	1
246	39
122	41
599	561
982	4
213	87
4	1913
345	105
99	203
52	128
244	1
291	96
150	2136
52	120
531	12
1	937
1	247
1	932
1	931
52	427
41	2014
2099	1
1	249
52	424
128	2112
12	322
30	653
784	57
30	656
267	1
1387	1397
1169	119
26	1080
1130	12
426	1944
1503	12
1904	532
87	612
87	617
4	26
333	12
907	908
1372	463
1213	1370
199	2115
364	4
468	52
2	80
427	2310
621	622
9	96
1686	49
26	174
75	1466
59	41
57	1701
897	20
2275	130
61	2184
270	271
66	67
1230	12
698	67
787	590
1029	61
1029	65
1476	30
216	29
1279	178
24	276
65	2077
35	1740
1831	12
1	2228
1079	12
1258	355
279	881
30	64
30	67
30	60
1716	12
30	2168
72	1684
733	2080
1263	20
321	1952
56	108
643	534
1463	12
681	20
1570	20
228	12
61	1655
82	549
12	1301
645	198
278	29
1228	78
358	774
480	30
72	464
1410	1953
1903	57
1781	1445
1676	198
2008	20
108	109
789	790
316	11
2304	733
276	2192
1243	99
281	282
1379	81
626	1
755	1
1	1209
254	150
141	105
1740	99
78	1415
1923	526
1773	65
568	460
1100	1684
636	65
9	216
241	126
214	12
1684	65
694	761
1900	229
119	57
508	733
569	228
141	1186
98	256
733	1856
733	1850
733	1851
4	1497
2276	2277
502	449
212	12
350	59
1091	733
30	336
579	537
383	497
30	338
373	679
20	108
1725	630
979	342
528	12
782	29
360	661
103	1232
733	1140
87	1926
1232	87
2300	1977
23	108
266	221
23	103
1098	150
895	807
29	473
30	485
30	481
872	659
2141	12
514	29
116	1781
69	1145
551	552
57	30
122	182
57	39
2147	119
12	1959
72	260
1060	39
250	1190
1113	624
42	574
1060	30
58	59
1912	1
1597	12
203	130
256	661
2222	323
256	2321
72	125
59	204
1887	1893
739	114
59	203
59	202
199	245
108	1115
1464	29
593	1
1011	1012
1967	124
1498	126
198	154
73	29
438	439
1314	1215
1942	41
1253	124
321	1545
52	923
229	120
241	1852
2	713
321	1549
1886	397
336	29
126	1137
1394	1302
197	1980
1385	1386
12	2139
264	2027
224	150
575	161
282	504
1126	930
412	29
1949	65
1388	1399
1584	38
279	1038
80	119
31	59
256	1148
1030	1
2037	2152
1175	1148
381	30
1555	30
159	160
661	153
61	774
52	2086
108	311
88	256
668	12
12	1794
361	170
603	120
227	228
356	105
660	1
198	1220
2052	12
1068	75
1733	41
1695	99
1840	1457
30	815
1958	12
789	2162
948	431
1194	59
65	803
1268	12
1995	1996
12	1172
772	55
58	639
462	52
203	494
733	412
58	630
929	930
346	1360
429	12
621	12
1254	1030
1430	12
12	374
12	373
12	371
690	1403
35	875
12	378
52	328
1715	1716
14	1153
52	321
52	323
460	23
2149	30
90	29
821	12
1	1010
198	199
246	10
1355	943
733	1448
99	605
785	1776
279	196
52	148
1556	366
1645	954
1178	616
229	944
108	1
1800	12
1515	29
1216	4
128	429
1705	61
182	1029
40	12
1	264
1509	29
96	1272
49	2
1082	161
71	72
314	1536
276	782
69	1031
1258	2129
694	247
99	1216
155	96
157	760
16	75
1762	1
1253	26
20	1608
1618	30
866	35
716	1118
559	1
256	271
559	4
61	358
29	731
72	1520
2253	61
30	679
1590	1591
878	12
2041	99
711	59
1	1502
48	899
1637	4
206	1029
803	125
446	1
803	122
1824	61
35	125
430	38
31	1
87	893
2192	316
600	601
522	630
1962	52
65	650
65	60
65	66
382	630
1901	59
858	1151
858	1153
630	65
1227	69
30	45
30	44
808	694
645	1740
645	575
1502	69
56	124
1524	1525
153	803
1763	249
1576	2200
1230	78
35	1097
522	947
480	12
1837	349
30	1823
1283	30
802	12
131	203
115	31
1322	122
119	1075
2	500
78	153
2184	888
20	873
692	108
316	30
1294	2256
