	graphletCounts/margaret-fuller/margaret-fuller-summer-on-the-lakes	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-shakespere	graphletCounts/gustave-flaubert/gustave-flaubert-short-works	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-white-nights	graphletCounts/mary-shelley/mary-shelley-prosepine-midas	graphletCounts/gustave-flaubert/gustave-flaubert-madame-bovary	graphletCounts/margaret-fuller/margaret-fuller-woman-in-the-nineteenth-century	graphletCounts/gustave-flaubert/gustave-flaubert-salammbo	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-aids-to-reflection	graphletCounts/mary-shelley/mary-shelley-frankenstein	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	graphletCounts/walter-scott/walter-scott-ivanhoe	graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-biographia-literaria	graphletCounts/henry-david-thoreau/henry-david-thoreau-maine-woods	graphletCounts/leo-tolstoy/leo-tolstoy-anna-karenina	graphletCounts/walter-scott/walter-scott-the-tailsmen	graphletCounts/mary-shelley/mary-shelley-mathilda	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-representative-men	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-first-series	graphletCounts/mary-shelley/mary-shelley-last-man	graphletCounts/walter-scott/walter-scott-waverly-2	graphletCounts/walter-scott/walter-scott-waverly-1	graphletCounts/margaret-fuller/margaret-fuller-at-home-and-abroad	graphletCounts/gustave-flaubert/gustave-flaubert-simple-soul	graphletCounts/henry-david-thoreau/henry-david-thoreau-on-duty-civil	graphletCounts/henry-david-thoreau/henry-david-thoreau-excursions	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-house-of-the-dead	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-english-traits	graphletCounts/henry-david-thoreau/henry-david-thoreau-walking	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-nature	graphletCounts/margaret-fuller/margaret-fuller-memoirs-of-margaret-fuller-ossoli-vol-1	graphletCounts/gustave-flaubert/gustave-flaubert-temptation-anthony	graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-uncles-dream	graphletCounts/walter-scott/walter-scott-the-monestary	graphletCounts/ralph-waldo-emerson/ralph-waldo-emerson-second-series	graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-literary-remains	graphletCounts/mary-shelley/mary-shelley-tales-stories
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-poor-folk	0.0190852232963	0.0121885614078	0.0108914895375	0.0076892082206	0.0209888522894	0.00895599041973	0.0184716694777	0.00995191538343	0.0225662951066	0.0190798273228	0	0.0109030453174	0.00770498982468	0.0118002333564	0.0671455771417	0.0622409065469	0.0686870857975	0.0716243363902	0.00201734594565	0.0185815313436	0.0167774228424	0.0124920951518	0.0756593532519	0.004000076171	0.0209571195575	0.0241722126896	0.0348659934047	0.0201601928502	0.00271360545655	0.00360578016828	0.018063263563	0.0108300888009	0.0129154272117	0.0125519785665	0.00667833148797	0.0510275379571	0.0132505172432	0.0328401050327	0.0188420874135	0.0120920399337	0.00709646735317	0.007831705057	0.0151552868092	0.0124286570033	0.0203055419241
graphletCounts/samuel-taylor-coleridge/samuel-taylor-coleridge-specimens-of-the-table-talk	0.00818217797883	0.00128551609033	1.15557799525e-05	0.00321383709685	0.0100858069719	0.00194705489771	0.00756862416031	0.000951129934012	0.0116632497892	0.0081767820054	0.0109030453174	0	0.0186080351421	0.00089718803891	0.0780486224592	0.0731439518643	0.079590131115	0.0825273817077	0.0088856993718	0.00767848602612	0.00587437752493	0.00158904983437	0.0865623985694	0.0149031214884	0.01005407424	0.035075258007	0.0457690387222	0.00925714753276	0.013616650774	0.0145088254857	0.00716021824552	7.29565165581e-05	0.0020123818943	0.00164893324902	0.00422471382947	0.0619305832746	0.00234747192571	0.0437431503501	0.00793904209607	0.00118899461628	0.00380657796428	0.0187347503744	0.0260583321266	0.00152561168582	0.00940249660661
graphletCounts/walter-scott/walter-scott-ivanhoe	0.026790213121	0.0198935512325	0.0185964793622	0.0153941980453	0.0286938421141	0.0166609802444	0.0261766593024	0.0176569052081	0.0302712849313	0.0267848171475	0.00770498982468	0.0186080351421	0	0.019505223181	0.059440587317	0.0545359167222	0.0609820959729	0.0639193465655	0.00972233577033	0.0262865211682	0.0244824126671	0.0201970849765	0.0679543634272	0.00370491365369	0.0286621093822	0.0164672228649	0.02716100358	0.0278651826749	0.00499138436813	0.0040992096564	0.0257682533876	0.0185350786256	0.0206204170364	0.0202569683911	0.0143833213127	0.0433225481324	0.0209555070678	0.025135115208	0.0265470772382	0.0197970297584	0.0148014571779	0.000126715232315	0.0074502969845	0.0201336468279	0.0280105317487
graphletCounts/henry-david-thoreau/henry-david-thoreau-cape-cod	0.00728498993992	0.000388328051417	0.000908743818863	0.00411102513576	0.00918861893304	0.00284424293662	0.0066714361214	0.00184831797292	0.0107660617503	0.00727959396649	0.0118002333564	0.00089718803891	0.019505223181	0	0.0789458104981	0.0740411399032	0.0804873191539	0.0834245697466	0.00978288741071	0.00678129798721	0.00497718948602	0.000691861795456	0.0874595866083	0.0158003095274	0.00915688620113	0.0359724460459	0.0466662267611	0.00835995949385	0.0145138388129	0.0154060135246	0.00626303020661	0.000970144555469	0.00111519385539	0.000751745210108	0.00512190186838	0.0628277713135	0.0014502838868	0.044640338389	0.00704185405716	0.000291806577365	0.00470376600319	0.0196319384134	0.0269555201655	0.000628423646907	0.0085053085677
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-2	0.086230800438	0.0793341385495	0.0780370666792	0.0748347853623	0.0881344294311	0.0761015675615	0.0856172466195	0.0770974925251	0.0897118722484	0.0862254044646	0.0671455771417	0.0780486224592	0.059440587317	0.0789458104981	0	0.00490467059484	0.00154150865583	0.00447875924849	0.0691629230874	0.0857271084853	0.0839229999841	0.0796376722935	0.0085137761102	0.0631455009707	0.0881026966992	0.0429733644522	0.032279583737	0.0873057699919	0.0644319716852	0.0635397969734	0.0852088407047	0.0779756659426	0.0800610043535	0.0796975557082	0.0738239086297	0.0161180391846	0.0803960943849	0.034305472109	0.0859876645552	0.0792376170754	0.0742420444949	0.0593138720847	0.0519902903325	0.079574234145	0.0874511190658
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-3	0.0813261298432	0.0744294679547	0.0731323960844	0.0699301147675	0.0832297588363	0.0711968969666	0.0807125760246	0.0721928219303	0.0848072016535	0.0813207338697	0.0622409065469	0.0731439518643	0.0545359167222	0.0740411399032	0.00490467059484	0	0.00644617925066	0.00938342984333	0.0642582524925	0.0808224378904	0.0790183293893	0.0747330016987	0.013418446705	0.0582408303759	0.0831980261044	0.0380686938573	0.0273749131422	0.0824010993971	0.0595273010903	0.0586351263786	0.0803041701098	0.0730709953478	0.0751563337586	0.0747928851133	0.0689192380349	0.0112133685898	0.07549142379	0.0294008015142	0.0810829939604	0.0743329464806	0.0693373739001	0.0544092014899	0.0470856197377	0.0746695635501	0.0825464484709
graphletCounts/leo-tolstoy/leo-tolstoy-war-and-peace-1	0.0877723090938	0.0808756472053	0.079578575335	0.0763762940181	0.0896759380869	0.0776430762173	0.0871587552753	0.078639001181	0.0912533809042	0.0877669131204	0.0686870857975	0.079590131115	0.0609820959729	0.0804873191539	0.00154150865583	0.00644617925066	0	0.00293725059266	0.0707044317432	0.0872686171411	0.0854645086399	0.0811791809494	0.00697226745437	0.0646870096265	0.089644205355	0.044514873108	0.0338210923928	0.0888472786477	0.065973480341	0.0650813056293	0.0867503493605	0.0795171745984	0.0816025130093	0.081239064364	0.0753654172855	0.0176595478404	0.0819376030407	0.0358469807649	0.0875291732111	0.0807791257313	0.0757835531507	0.0608553807405	0.0535317989884	0.0811157428008	0.0889926277216
graphletCounts/leo-tolstoy/leo-tolstoy-master-and-men	0.0907095596865	0.083812897798	0.0825158259277	0.0793135446108	0.0926131886796	0.0805803268099	0.090096005868	0.0815762517736	0.0941906314969	0.0907041637131	0.0716243363902	0.0825273817077	0.0639193465655	0.0834245697466	0.00447875924849	0.00938342984333	0.00293725059266	0	0.0736416823359	0.0902058677338	0.0884017592326	0.084116431542	0.00403501686171	0.0676242602192	0.0925814559477	0.0474521237007	0.0367583429855	0.0917845292404	0.0689107309337	0.0680185562219	0.0896875999532	0.0824544251911	0.0845397636019	0.0841763149567	0.0783026678782	0.0205967984331	0.0848748536334	0.0387842313575	0.0904664238037	0.0837163763239	0.0787208037434	0.0637926313332	0.056469049581	0.0840529933935	0.0919298783143
graphletCounts/fyodor-dostoyevsky/fyodor-dostoyevsky-the-gambler	0.0170678773506	0.0101712154621	0.00887414359184	0.00567186227495	0.0189715063437	0.00693864447409	0.0164543235321	0.00793456943778	0.020548949161	0.0170624813772	0.00201734594565	0.0088856993718	0.00972233577033	0.00978288741071	0.0691629230874	0.0642582524925	0.0707044317432	0.0736416823359	0	0.0165641853979	0.0147600768967	0.0104747492062	0.0776766991976	0.00601742211664	0.0189397736118	0.0261895586352	0.0368833393504	0.0181428469046	0.0047309514022	0.00562312611393	0.0160459176173	0.00881274285524	0.0108980812661	0.0105346326208	0.00466098554232	0.0530448839028	0.0112331712975	0.0348574509783	0.0168247414679	0.0100746939881	0.00507912140752	0.00984905100264	0.0171726327548	0.0104113110576	0.0182881959784
graphletCounts/margaret-fuller/margaret-fuller-life-without-and-life-within	0.000503691952708	0.00639296993579	0.00769004180607	0.010892323123	0.00240732094583	0.00962554092383	0.000109861865813	0.00862961596013	0.00398476376308	0.000498295979284	0.0185815313436	0.00767848602612	0.0262865211682	0.00678129798721	0.0857271084853	0.0808224378904	0.0872686171411	0.0902058677338	0.0165641853979	0	0.00180410850119	0.00608943619175	0.0942408845955	0.0225816075146	0.00237558821392	0.0427537440331	0.0534475247483	0.00157866150664	0.0212951368001	0.0221873115118	0.000518267780601	0.00775144254268	0.00566610413182	0.0060295527771	0.0119031998556	0.0696090693007	0.0053310141004	0.0514216363762	0.000260556069952	0.00648949140984	0.0114850639904	0.0264132364006	0.0337368181527	0.0061528743403	0.00172401058049
